เดือน,ยี่ห้อ,แบบรถ,รุ่นย่อย,ประเภท,จำนวน
2023-07,Aion,Aion Y Plus,,RY1,331
2023-08,Aion,Aion Y Plus,,RY1,693
2023-09,Aion,Aion Y Plus,,RY1,382
2023-10,Aion,Aion Y Plus,,RY1,471
2023-11,Aion,Aion Y Plus,,RY1,435
2023-12,Aion,Aion Y Plus,,RY1,438
2024-01,Aion,Aion Y Plus,,RY1,472
2024-02,Aion,Aion Y Plus,Premium 490,RY1,407
2024-03,Aion,Aion Y Plus,,RY1,388
2024-04,Aion,Aion Y Plus,Premium 490,RY1,573
2024-05,Aion,Aion Y Plus,,RY1,523
2024-06,Aion,Aion Y Plus,,RY1,549
2024-07,Aion,Aion Y Plus,Premium 490,RY1,208
2024-08,Aion,Aion Y Plus,Premium 490,RY1,328
2024-09,Aion,Aion Y Plus,Premium 490,RY1,427
2024-10,Aion,Aion Y Plus,,RY1,448
2024-11,Aion,Aion Y Plus,,RY1,463
2024-12,Aion,Aion Y Plus,,RY1,555
2025-01,Aion,Aion Y Plus,,RY1,577
2025-02,Aion,Aion Y Plus,Premium 490,RY1,324
2025-03,Aion,Aion Y Plus,,RY1,512
2025-04,Aion,Aion Y Plus,,RY1,311
2025-05,Aion,Aion Y Plus,,RY1,628
2025-06,Aion,Aion Y Plus,,RY1,320
2025-07,Aion,Aion Y Plus,Premium 490,RY1,454
2025-08,Aion,Aion Y Plus,Premium 490,RY1,397
2025-09,Aion,Aion Y Plus,,RY1,633
2025-10,Aion,Aion Y Plus,Premium 490,RY1,434
2025-11,Aion,Aion Y Plus,,RY1,507
2025-12,Aion,Aion Y Plus,,RY1,612
2024-04,Aion,Aion ES,Standard,RY1,210
2024-05,Aion,Aion ES,Standard,RY1,263
2024-06,Aion,Aion ES,,RY1,442
2024-07,Aion,Aion ES,,RY1,310
2024-08,Aion,Aion ES,Standard,RY1,372
2024-09,Aion,Aion ES,Standard,RY1,225
2024-10,Aion,Aion ES,,RY1,282
2024-11,Aion,Aion ES,,RY1,229
2024-12,Aion,Aion ES,Standard,RY1,299
2025-01,Aion,Aion ES,,RY1,273
