เดือน,ยี่ห้อ,แบบรถ,รุ่นย่อย,จำนวน
2026-01,Aion,Aion Y Plus,,309
2026-02,Aion,Aion Y Plus,Premium 490,678
2026-03,Aion,Aion Y Plus,,312
2026-04,Aion,Aion Y Plus,,256
2026-05,Aion,Aion Y Plus,Premium 490,426
2026-06,Aion,Aion Y Plus,,387
2026-07,Aion,Aion Y Plus,,370
2026-08,Aion,Aion Y Plus,Premium 490,303
2026-09,Aion,Aion Y Plus,,427
2026-10,Aion,Aion Y Plus,,399
2026-11,Aion,Aion Y Plus,,565
2026-12,Aion,Aion Y Plus,,361
2026-01,Aion,Aion ES,,308
2026-02,Aion,Aion ES,,58
2026-03,Aion,Aion ES,,285
2026-04,Aion,Aion ES,,163
2026-05,Aion,Aion ES,Standard,301
2026-06,Aion,Aion ES,Standard,204
2026-07,Aion,Aion ES,Standard,386
2026-08,Aion,Aion ES,,264
2026-09,Aion,Aion ES,,399
2026-10,Aion,Aion ES,Standard,262
2026-11,Aion,Aion ES,Standard,318
2026-12,Aion,Aion ES,Standard,330
2026-01,Aion,Aion V,,183
2026-02,Aion,Aion V,Luxury,282
2026-03,Aion,Aion V,Luxury,155
2026-04,Aion,Aion V,,246
2026-05,Aion,Aion V,Luxury,230
2026-06,Aion,Aion V,,137
2026-07,Aion,Aion V,,122
2026-08,Aion,Aion V,Luxury,269
2026-09,Aion,Aion V,Luxury,272
2026-10,Aion,Aion V,Luxury,307
2026-11,Aion,Aion V,Luxury,370
2026-12,Aion,Aion V,,410
2026-01,Audi,Q3,,337
2026-02,Audi,Q3,,300
2026-03,Audi,Q3,,277
2026-04,Audi,Q3,,200
2026-05,Audi,Q3,35 TFSI S line,238
2026-06,Audi,Q3,,295
2026-07,Audi,Q3,35 TFSI S line,99
2026-08,Audi,Q3,,250
2026-09,Audi,Q3,,169
2026-10,Audi,Q3,,117
2026-11,Audi,Q3,35 TFSI S line,319
2026-12,Audi,Q3,,268
2026-01,Audi,Q5,,87
2026-02,Audi,Q5,,107
2026-03,Audi,Q5,45 TFSI quattro S line,97
2026-04,Audi,Q5,,61
2026-05,Audi,Q5,,128
2026-06,Audi,Q5,,90
2026-07,Audi,Q5,,77
2026-08,Audi,Q5,,138
2026-09,Audi,Q5,,96
2026-10,Audi,Q5,45 TFSI quattro S line,111
2026-11,Audi,Q5,,126
2026-12,Audi,Q5,,129
2026-01,BMW,3 Series,330e M Sport,75
2026-02,BMW,3 Series,,103
2026-03,BMW,3 Series,,102
2026-04,BMW,3 Series,,86
2026-05,BMW,3 Series,,79
2026-06,BMW,3 Series,330e M Sport,86
2026-07,BMW,3 Series,330e M Sport,105
2026-08,BMW,3 Series,,113
2026-09,BMW,3 Series,,71
2026-10,BMW,3 Series,,78
2026-11,BMW,3 Series,,74
2026-12,BMW,3 Series,330e M Sport,129
2026-01,BMW,5 Series,,27
2026-02,BMW,5 Series,,25
2026-03,BMW,5 Series,,45
2026-04,BMW,5 Series,530e M Sport,31
2026-05,BMW,5 Series,,23
2026-06,BMW,5 Series,530e M Sport,15
2026-07,BMW,5 Series,530e M Sport,27
2026-08,BMW,5 Series,530e M Sport,38
2026-09,BMW,5 Series,530e M Sport,30
2026-10,BMW,5 Series,,28
2026-11,BMW,5 Series,530e M Sport,33
2026-12,BMW,5 Series,530e M Sport,24
2026-01,BMW,X1,sDrive18i xLine,296
2026-02,BMW,X1,sDrive18i xLine,259
2026-03,BMW,X1,sDrive18i xLine,208
2026-04,BMW,X1,,293
2026-05,BMW,X1,sDrive18i xLine,179
2026-06,BMW,X1,,315
2026-07,BMW,X1,,208
2026-08,BMW,X1,,243
2026-09,BMW,X1,sDrive18i xLine,247
2026-10,BMW,X1,sDrive18i xLine,168
2026-11,BMW,X1,,125
2026-12,BMW,X1,,222
2026-01,BMW,X3,,91
2026-02,BMW,X3,,110
2026-03,BMW,X3,,86
2026-04,BMW,X3,20 xDrive M Sport,163
2026-05,BMW,X3,,85
2026-06,BMW,X3,,77
2026-07,BMW,X3,,65
2026-08,BMW,X3,20 xDrive M Sport,89
2026-09,BMW,X3,,142
2026-10,BMW,X3,20 xDrive M Sport,118
2026-11,BMW,X3,,119
2026-12,BMW,X3,,85
2026-01,BMW,iX3,,83
2026-02,BMW,iX3,,105
2026-03,BMW,iX3,,88
2026-04,BMW,iX3,Inspiring,138
2026-05,BMW,iX3,Inspiring,113
2026-06,BMW,iX3,,125
2026-07,BMW,iX3,,142
2026-08,BMW,iX3,,91
2026-09,BMW,iX3,Inspiring,139
2026-10,BMW,iX3,,91
2026-11,BMW,iX3,Inspiring,90
2026-12,BMW,iX3,,48
2026-01,BMW,i4,eDrive40 M Sport,75
2026-02,BMW,i4,,112
2026-03,BMW,i4,eDrive40 M Sport,92
2026-04,BMW,i4,,111
2026-05,BMW,i4,,105
2026-06,BMW,i4,,105
2026-07,BMW,i4,eDrive40 M Sport,77
2026-08,BMW,i4,eDrive40 M Sport,119
2026-09,BMW,i4,,131
2026-10,BMW,i4,,142
2026-11,BMW,i4,eDrive40 M Sport,164
2026-12,BMW,i4,,118
2026-01,BYD,Atto 3,,778
2026-02,BYD,Atto 3,,450
2026-03,BYD,Atto 3,,1614
2026-04,BYD,Atto 3,Extended Range,1623
2026-05,BYD,Atto 3,,1327
2026-06,BYD,Atto 3,Extended Range,1339
2026-07,BYD,Atto 3,,805
2026-08,BYD,Atto 3,,1760
2026-09,BYD,Atto 3,,1188
2026-10,BYD,Atto 3,,1527
2026-11,BYD,Atto 3,,1288
2026-12,BYD,Atto 3,,564
2026-01,BYD,Dolphin,,1483
2026-02,BYD,Dolphin,Extended Range,460
2026-03,BYD,Dolphin,,2333
