เดือน,ยี่ห้อ,แบบรถ,จำนวน
2026-01,Ford,Ranger,1772
2026-02,Ford,Ranger Single Cab,939
2026-03,Ford,Ranger Single Cab,1131
2026-04,Ford,Ranger,924
2026-05,Ford,Ranger,718
2026-06,Ford,Ranger Single Cab,1906
2026-07,Ford,Ranger,1400
2026-08,Ford,Ranger Single Cab,898
2026-09,Ford,Ranger,1113
2026-10,Ford,Ranger Single Cab,1098
2026-11,Ford,Ranger,858
2026-12,Ford,Ranger,1177
2026-01,Ford,Ranger,1243
2026-02,Ford,Ranger Open Cab,1291
2026-03,Ford,Ranger,1794
2026-04,Ford,Ranger,1438
2026-05,Ford,Ranger Open Cab,1397
2026-06,Ford,Ranger,1094
2026-07,Ford,Ranger,1304
2026-08,Ford,Ranger Open Cab,909
2026-09,Ford,Ranger Open Cab,1577
2026-10,Ford,Ranger,1555
2026-11,Ford,Ranger Open Cab,1468
2026-12,Ford,Ranger Open Cab,1122
2026-01,Isuzu,D-Max,2983
2026-02,Isuzu,D-Max,4104
2026-03,Isuzu,D-Max Spark,3455
2026-04,Isuzu,D-Max Spark,4086
2026-05,Isuzu,D-Max,2062
2026-06,Isuzu,D-Max,3351
2026-07,Isuzu,D-Max Spark,4791
2026-08,Isuzu,D-Max,4103
2026-09,Isuzu,D-Max Spark,2473
2026-10,Isuzu,D-Max,3046
2026-11,Isuzu,D-Max,3010
2026-12,Isuzu,D-Max Spark,6811
2026-01,Isuzu,D-Max Cab4,2457
2026-02,Isuzu,D-Max Cab4,3017
2026-03,Isuzu,D-Max Cab4,2733
2026-04,Isuzu,D-Max Cab4,2112
2026-05,Isuzu,D-Max Cab4,1845
2026-06,Isuzu,D-Max,2427
2026-07,Isuzu,D-Max Cab4,2353
2026-08,Isuzu,D-Max Cab4,2061
2026-09,Isuzu,D-Max Cab4,2557
2026-10,Isuzu,D-Max Cab4,3281
2026-11,Isuzu,D-Max Cab4,3024
2026-12,Isuzu,D-Max Cab4,1742
2026-01,Mazda,BT-50 Single Cab,385
2026-02,Mazda,BT-50,473
2026-03,Mazda,BT-50,406
2026-04,Mazda,BT-50 Single Cab,721
2026-05,Mazda,BT-50 Single Cab,353
2026-06,Mazda,BT-50 Single Cab,289
2026-07,Mazda,BT-50 Single Cab,692
2026-08,Mazda,BT-50 Single Cab,442
2026-09,Mazda,BT-50 Single Cab,398
2026-10,Mazda,BT-50 Single Cab,482
2026-11,Mazda,BT-50,392
2026-12,Mazda,BT-50 Single Cab,614
2026-01,Mazda,BT-50 Freestyle Cab,349
2026-02,Mazda,BT-50,333
2026-03,Mazda,BT-50,653
2026-04,Mazda,BT-50 Freestyle Cab,670
2026-05,Mazda,BT-50 Freestyle Cab,293
2026-06,Mazda,BT-50,306
2026-07,Mazda,BT-50 Freestyle Cab,532
2026-08,Mazda,BT-50 Freestyle Cab,293
2026-09,Mazda,BT-50 Freestyle Cab,237
2026-10,Mazda,BT-50,401
2026-11,Mazda,BT-50 Freestyle Cab,223
2026-12,Mazda,BT-50 Freestyle Cab,396
2026-01,MG,MG Extender,1323
2026-02,MG,MG Extender,1117
2026-03,MG,MG Extender,1103
2026-04,MG,MG Extender Giant Cab,636
2026-05,MG,MG Extender Giant Cab,791
2026-06,MG,MG Extender,638
2026-07,MG,MG Extender,976
2026-08,MG,MG Extender Giant Cab,949
2026-09,MG,MG Extender,837
2026-10,MG,MG Extender Giant Cab,982
2026-11,MG,MG Extender Giant Cab,1188
2026-12,MG,MG Extender,1181
2026-01,Mitsubishi,Triton Single Cab,1087
2026-02,Mitsubishi,Triton,881
2026-03,Mitsubishi,Triton,1020
2026-04,Mitsubishi,Triton,938
2026-05,Mitsubishi,Triton Single Cab,872
2026-06,Mitsubishi,Triton Single Cab,862
2026-07,Mitsubishi,Triton,575
2026-08,Mitsubishi,Triton,984
2026-09,Mitsubishi,Triton Single Cab,893
2026-10,Mitsubishi,Triton,749
2026-11,Mitsubishi,Triton Single Cab,1005
2026-12,Mitsubishi,Triton,344
2026-01,Mitsubishi,Triton Club Cab,1267
2026-02,Mitsubishi,Triton,1226
2026-03,Mitsubishi,Triton Club Cab,1503
2026-04,Mitsubishi,Triton Club Cab,736
2026-05,Mitsubishi,Triton,1535
2026-06,Mitsubishi,Triton Club Cab,1299
2026-07,Mitsubishi,Triton Club Cab,745
2026-08,Mitsubishi,Triton,689
2026-09,Mitsubishi,Triton,1409
2026-10,Mitsubishi,Triton,1917
2026-11,Mitsubishi,Triton Club Cab,994
2026-12,Mitsubishi,Triton Club Cab,1783
2026-01,Nissan,Navara Single Cab,582
2026-02,Nissan,Navara Single Cab,339
2026-03,Nissan,Navara,491
2026-04,Nissan,Navara,603
2026-05,Nissan,Navara Single Cab,367
2026-06,Nissan,Navara,617
2026-07,Nissan,Navara Single Cab,526
2026-08,Nissan,Navara,389
2026-09,Nissan,Navara Single Cab,288
2026-10,Nissan,Navara Single Cab,420
2026-11,Nissan,Navara Single Cab,651
2026-12,Nissan,Navara Single Cab,600
2026-01,Nissan,Navara,741
2026-02,Nissan,Navara,612
2026-03,Nissan,Navara King Cab,447
2026-04,Nissan,Navara King Cab,459
2026-05,Nissan,Navara,519
2026-06,Nissan,Navara,539
