period,registration_type,brand,nameplate,model,trim_label,grade,drive,range_km,battery_kwh,powertrain_hint,segment,body_type,market_position,powertrain,brand_segment,units,raw_label
2026-01,RY1,Jaecoo,Jaecoo 5 EV,Jaecoo 5 EV,Long Range Max,LONG RANGE MAX,,,,,B,CROSSOVER,VOLUME,BEV,MASS,6779.0,JAECOO 5 EV Long Range Max
2026-01,RY1,BYD,Dolphin,Dolphin,435KM-STD,STD,,435.0,,,B,HATCHBACK,VOLUME,BEV,MASS,5061.0,BYD BYD DOLPHIN (435KM-STD)
2026-01,RY1,BYD,Atto 3,Atto 3,480KM-EXT,EXT,,480.0,,,B,CROSSOVER,VOLUME,BEV,MASS,2691.0,BYD BYD ATTO3 (480KM-EXT)
2026-01,RY1,MG,MG4 Electric,MG4 Electric,,,,,,,C,HATCHBACK,VOLUME,BEV,MASS,2400.0,MG MG4 ELECTRIC
2026-01,RY1,MG,MG S5 EV,MG S5 EV,,,,,,,C,CROSSOVER,VOLUME,BEV,MASS,2080.0,MG S5 EV
2026-01,RY1,Deepal,Deepal S05,Deepal S05,MAX,MAX,,,,,B,CROSSOVER,VOLUME,MIXED,MASS,1927.0,DEEPAL S05 MAX
2026-01,RY1,GWM,Ora Good Cat,Ora Good Cat,,,,,,,B,HATCHBACK,VOLUME,BEV,MASS,1904.0,ORA GOOD CAT
2026-01,RY1,BYD,Atto 3,Atto 3,410KM-PREMIUM,PREMIUM,,410.0,,,B,CROSSOVER,VOLUME,BEV,MASS,1384.0,BYD BYD ATTO3 (410KM-PREMIUM)
2026-01,RY1,Aion,Aion V,Aion V,602 LUXURY,LUXURY,,602.0,,,C,CROSSOVER,UPPER,BEV,MASS,1255.0,AION AION V 602 LUXURY
2026-01,RY1,GWM,Tank 300,Tank 300,,,,,,,C,PPV,UPPER,HEV,MASS,883.0,GWM GWM TANK 300
2026-01,RY1,BYD,Dolphin,Dolphin,490KM-EXT,EXT,,490.0,,,B,HATCHBACK,VOLUME,BEV,MASS,830.0,BYD BYD DOLPHIN (490KM-EXT)
2026-01,RY1,Aion,Aion UT,Aion UT,420 STANDARD,STANDARD,,420.0,,,B,HATCHBACK,MIXED,BEV,MASS,809.0,AION AION UT 420 STANDARD
2026-01,RY1,Aion,Aion UT,Aion UT,500 PREMIUM,PREMIUM,,500.0,,,B,HATCHBACK,MIXED,BEV,MASS,709.0,AION AION UT 500 PREMIUM
2026-01,RY1,BYD,Sealion 7,Sealion 7,RWD,,RWD,,,,D,CROSSOVER,UPPER,BEV,MASS,702.0,BYD BYD SEALION 7 RWD
2026-01,RY1,Deepal,Deepal S07,Deepal S07,L,,,,,,C,CROSSOVER,UPPER,BEV,MASS,614.0,DEEPAL S07 L
2026-01,RY1,Chery,Chery V23,Chery V23,2WD PLUS,PLUS,2WD,,,,B,SUV,VOLUME,BEV,MASS,546.0,CHERY V23 2WD PLUS
2026-01,RY1,Aion,Hyptec HT,Hyptec HT,620 PREMIUM,PREMIUM,,620.0,,,D,CROSSOVER,UPPER,BEV,MASS,535.0,AION HYPTEC HT 620 PREMIUM
2026-01,RY1,Chery,Chery V23,Chery V23,4WD PEAK,PEAK,4WD,,,,B,SUV,VOLUME,BEV,MASS,534.0,CHERY V23 4WD PEAK
